treemap,scenario,etage_1,etage_2,etage_3,case,contribution,explication
Jeu de société,Changement climatique,Format moyen,Production des éléments en papier et carton,Production de la boîte du jeu,0.246000000000000,par étape de cycle de vie,Ce sont les composants en papier et carton qui sont les plus présents dans les jeux de société et donc qui engendrent le plus d'impact.
Jeu de société,Changement climatique,Format moyen,Production des éléments en bois,Production des pions,0.017200000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Format moyen,Production des éléments en bois,Production des dés,0.030200000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Format moyen,Production des éléments en papier et carton,Production des cartes,0.431000000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Format moyen,Production des éléments en plastique,Production des emballages des cartes,0.000816000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Format moyen,Production des éléments en papier et carton,Production du punchboard (plateau en carton),0.254000000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Format moyen,Production des éléments en papier et carton,Production des règles du jeu,0.063800000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Format moyen,Production des éléments en plastique,Production des emballages de la boîte du jeu,0.004880000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Format moyen,Transport du jeu,Transport de la Chine à la Suisse,0.176000000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Grand format,Production des éléments en papier et carton,Production de la boîte du jeu,0.544500000000000,par étape de cycle de vie,"Si tu veux plus d'infos sur les hypothèses des scénarios, clique sur le bouton ""i"" à droite de ""Scénario""."
Jeu de société,Changement climatique,Grand format,Production des éléments en papier et carton,Production du plateau de jeu,0.785300000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Grand format,Production des éléments en bois,Production des pions,0.031530000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Grand format,Production des éléments en bois,Production des dés,0.030220000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Grand format,Production des éléments en papier et carton,Production des cartes,0.483000000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Grand format,Production des éléments en plastique,Production des emballages des cartes,0.000815600000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Grand format,Production des éléments en plastique,Production des figurines,0.091230000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Grand format,Production des éléments en papier et carton,Production du punchboard (plateau en carton),1.229000000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Grand format,Production des éléments en papier et carton,Production des règles du jeu,0.231600000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Grand format,Production des éléments en plastique,Production des emballages de la boîte du jeu,0.010730000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Grand format,Transport du jeu,Transport de la Chine à la Suisse,0.644500000000000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Petit format,Production des éléments en papier et carton,Production de la boîte du jeu,0.000000560000000,par étape de cycle de vie,C'est l'étape de la fabrication qui a le plus d'impact sur l'utilisation des ressources minérales et métalliques.
Jeu de société,Ressources minérales et métalliques,Petit format,Production des éléments en papier et carton,Production des cartes,0.000000853000000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Petit format,Production des éléments en plastique,Production des emballages des cartes,0.000000000311000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Petit format,Production des éléments en papier et carton,Production du punchboard (plateau en carton),0.000000117000000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Petit format,Production des éléments en papier et carton,Production des règles du jeu,0.000000185000000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Petit format,Production des éléments en plastique,Production des emballages de la boîte du jeu,0.000000000847000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Petit format,Transport du jeu,Transport de la Chine à la Suisse,0.000000106000000,par étape de cycle de vie,
